pinyin,hanzi,hsk,translation
dī,低,3,"low, beneath, to lower (one's head), to let droop, to hang down, to incline,"
dì fang,地方,3,"area, place, space, room, territory, CL:處|处,個|个,塊|块[kuài],"
dì tiě,地铁,3,"subway, metro,"
dì tú,地图,3,"map, CL:張|张,本[běn],"
diàn tī,电梯,3,"elevator, escalator, CL:臺|台,部[bù],"
diàn zǐ,电子,3,"electronic, electron (particle physics),"
dōng,冬,3,"sound of beating a drum, onomatopoeia for rat-a-tat etc,"
dōng,东,3,"east, host (i.e. sitting on east side of guest), landlord,"
dòng wù,动物,3,"animal, CL:隻|只,群,個|个[gè],"
duǎn,短,3,"short or brief, to lack, weak point, fault,"
duàn,段,3,"paragraph, section, segment, stage (of a process), classifier for stories, periods of time, lengths of thread etc,"
duàn liàn,锻炼,3,"to engage in physical exercise, to work out, to toughen, to temper,"
duō me,多么,3,"how (wonderful etc), what (a great idea etc), however (difficult it may be etc),"
è,饿,3,"to be hungry, hungry,"
ér qiě,而且,3,"(not only ...) but also, moreover, in addition, furthermore,"
ěr duo,耳朵,3,"ear, CL:隻|只,個|个,對|对[duì],"
fā shāo,发烧,3,"to have a high temperature (from illness), to have a fever,"
fā xiàn,发现,3,"to find, to discover,"
fāng biàn,方便,3,"convenient, to help out, to make things easy for people, convenience, suitable, having money to spare, (euphemism) to go to the toilet,"
fàng,放,3,"to release, to free, to let go, to put, to place, to let out, to set off (fireworks),"
fàng xīn,放心,3,"to feel relieved, to feel reassured, to be at ease,"
